批次,批次名称,邀请码,邀请码链接,是否使用,使用人id,使用人昵称,使用时间,邀请码标题,使用须知,申请人,申请原因,生效时间,失效时间,生成时间
648779,"Jon Allen讲创伤与依恋创伤","		3564253566977786",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3564253566977786,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1078495503438482",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1078495503438482,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0462008767435397",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0462008767435397,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3668613658943863",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3668613658943863,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		3363350935389363",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/3363350935389363,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0216353933361904",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0216353933361904,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2686185449332062",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2686185449332062,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		2886315749368411",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/2886315749368411,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0982837231651274",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0982837231651274,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		1604861355949060",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/1604861355949060,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0438710026639480",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0438710026639480,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0859562022413023",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0859562022413023,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		5522633990394195",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/5522633990394195,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
648779,"Jon Allen讲创伤与依恋创伤","		0555185400641886",https://wxe4c2ee8dc4bf69ec.h5.xiaoe-tech.com/giftcode/0555185400641886,未使用,,,,"Jon Allen讲创伤与依恋创伤",无,,,"	2019-06-25 18:00:00","	2019-10-25 00:00:00","	2019-06-25 18:53:02"
